"108","Pat Connaughton","SG","29","MIL","39","15","28.3","4.0","8.3",".480","2.4","6.0",".403","1.6","2.4",".674",".625","0.7","0.8",".788","0.7","3.9","4.7","1.4","1.0","0.3","0.7","1.3","11.1"
"109","Tyler Cook","PF","24","CHI","9","0","10.4","1.4","2.2",".650","0.0","0.0","","1.4","2.2",".650",".650","1.6","1.8",".875","0.7","1.7","2.3","0.3","0.3","0.1","0.4","1.6","4.4"
"110","Sharife Cooper","PG","20","ATL","8","0","3.8","0.3","1.5",".167","0.0","0.5",".000","0.3","1.0",".250",".167","0.0","0.0","","0.0","0.4","0.4","0.6","0.0","0.0","0.5","0.1","0.5"
"111","Petr Cornelie","PF","26","DEN","13","0","2.9","0.4","1.2",".333","0.1","0.6",".125","0.3","0.5",".571",".367","0.2","0.3",".750","0.5","0.5","1.1","0.2","0.1","0.1","0.3","0.5","1.1"
"112","DeMarcus Cousins","C","31","MIL","17","5","16.9","3.2","6.9",".466","0.8","2.8",".271","2.5","4.1",".600",".521","1.8","2.2",".816","1.4","4.4","5.8","1.1","0.9","0.5","0.9","2.7","9.1"
"113","Robert Covington","PF","31","POR","34","26","27.6","2.5","6.4",".392","1.5","4.6",".327","1.0","1.8",".557",".509","0.2","0.2","1.000","0.7","4.4","5.1","1.2","1.3","1.1","1.0","2.4","6.7"
"114","Torrey Craig","SF","31","IND","35","1","16.3","2.1","4.3",".483","0.6","2.0",".296","1.5","2.3",".650",".553","0.7","0.8",".828","1.2","2.2","3.4","1.0","0.4","0.3","0.7","1.7","5.5"
"115","Jae Crowder","PF","31","PHO","32","32","28.1","3.2","8.0",".404","1.8","5.4",".343","1.4","2.6",".530",".520","1.0","1.3",".800","0.4","4.3","4.6","1.4","1.1","0.5","0.9","2.4","9.3"
"116","Jarrett Culver","SG","22","MEM","14","0","10.6","1.9","4.0",".482","0.4","1.3",".278","1.6","2.7",".579",".527","0.4","0.9",".500","0.3","1.5","1.8","1.1","0.6","0.1","0.3","0.9","4.6"
"117","Jarron Cumberland","SG","24","POR","3","0","4.0","0.3","0.7",".500","0.0","0.3",".000","0.3","0.3","1.000",".500","0.0","0.0","","0.3","0.7","1.0","0.3","0.0","0.0","0.0","0.7","0.7"
"118","Cade Cunningham","PG","20","DET","27","27","32.3","5.8","14.7",".392","2.2","6.9",".324","3.6","7.9",".451",".467","1.7","2.0",".849","0.9","5.1","6.0","5.3","1.4","0.6","3.9","2.9","15.4"
"119","Seth Curry","SG","31","PHI","34","34","34.7","6.1","11.8",".512","2.2","5.4",".412","3.9","6.5",".595",".606","1.8","2.1",".873","0.4","2.8","3.2","3.8","0.8","0.1","1.9","2.3","16.1"
"120","Stephen Curry","PG","33","GSW","35","35","34.7","8.6","20.5",".420","5.1","13.3",".388","3.5","7.3",".478",".545","4.4","4.8",".917","0.6","4.8","5.3","6.1","1.4","0.5","3.4","2.1","26.8"
